y	x	colors
532.0	764.0	orange
532.0	765.0	orange
532.0	766.0	orange
532.0	855.0	orange
532.0	856.0	orange
533.0	764.0	orange
533.0	765.0	orange
533.0	855.0	orange
533.0	856.0	orange
536.0	788.0	orange
536.0	789.0	orange
536.0	879.0	orange
537.0	605.0	orange
537.0	696.0	orange
537.0	697.0	orange
537.0	698.0	orange
537.0	787.0	orange
537.0	788.0	orange
537.0	789.0	orange
537.0	878.0	orange
537.0	879.0	orange
537.0	880.0	orange
538.0	696.0	orange
538.0	697.0	orange
538.0	788.0	orange
538.0	879.0	orange
540.0	518.0	orange
540.0	519.0	orange
540.0	609.0	orange
540.0	610.0	orange
541.0	518.0	orange
541.0	609.0	orange
597.0	846.0	orange
597.0	847.0	orange
598.0	846.0	orange
599.0	64.0	orange
599.0	65.0	orange
599.0	846.0	orange
602.0	855.0	orange
617.0	332.0	orange
617.0	422.0	orange
617.0	423.0	orange
617.0	512.0	orange
617.0	513.0	orange
617.0	514.0	orange
617.0	605.0	orange
617.0	606.0	orange
617.0	697.0	orange
617.0	698.0	orange
617.0	699.0	orange
617.0	789.0	orange
617.0	790.0	orange
617.0	791.0	orange
617.0	881.0	orange
617.0	882.0	orange
618.0	515.0	orange
618.0	606.0	orange
618.0	607.0	orange
618.0	697.0	orange
618.0	698.0	orange
618.0	699.0	orange
618.0	788.0	orange
618.0	789.0	orange
618.0	790.0	orange
618.0	791.0	orange
618.0	880.0	orange
618.0	881.0	orange
618.0	882.0	orange
619.0	606.0	orange
619.0	697.0	orange
619.0	698.0	orange
619.0	699.0	orange
619.0	788.0	orange
619.0	789.0	orange
619.0	790.0	orange
619.0	879.0	orange
619.0	880.0	orange
619.0	881.0	orange
620.0	788.0	orange
620.0	789.0	orange
620.0	878.0	orange
620.0	879.0	orange
620.0	880.0	orange
621.0	879.0	orange
621.0	880.0	orange
623.0	36.0	orange
624.0	36.0	orange
625.0	36.0	orange
625.0	323.0	orange
625.0	324.0	orange
625.0	325.0	orange
625.0	326.0	orange
625.0	416.0	orange
626.0	36.0	orange
626.0	233.0	orange
626.0	234.0	orange
626.0	324.0	orange
626.0	325.0	orange
626.0	875.0	orange
627.0	233.0	orange
630.0	60.0	orange
631.0	60.0	orange
632.0	481.0	orange
632.0	571.0	orange
632.0	572.0	orange
710.0	61.0	orange
711.0	61.0	orange
711.0	242.0	orange
712.0	60.0	orange
712.0	61.0	orange
712.0	151.0	orange
712.0	242.0	orange
713.0	59.0	orange
713.0	60.0	orange
713.0	61.0	orange
713.0	150.0	orange
713.0	151.0	orange
713.0	242.0	orange
714.0	60.0	orange
714.0	151.0	orange
